"file","line","symbol","kind"
"js\dashboard\dashboard-custodia.js","721","updateGuardarEstado","function"
"js\dashboard\dashboard-custodia.js","736","schedulePlacaCheck","function"
"js\dashboard\dashboard-custodia.js","749","checkPlacaReciente","function"
"js\dashboard\dashboard-custodia.js","769","openPlacaModal","function"
"js\dashboard\dashboard-custodia.js","781","closePlacaModal","function"
"js\dashboard\dashboard-custodia.js","787","handleUbicacionesGuardadas","function"
"js\dashboard\dashboard-custodia.js","811","openUbicacionesModal","function"
"js\dashboard\dashboard-custodia.js","817","closeUbicacionesModal","function"
"js\dashboard\dashboard-custodia.js","823","renderUbicacionesGuardadas","function"
"js\dashboard\dashboard-custodia.js","864","applyUbicacionGuardada","function"
"js\dashboard\dashboard-custodia.js","890","fetchUbicacionesGuardadas","function"
"js\dashboard\dashboard-custodia.js","904","fetchUltimoServicioPorPlaca","function"
"js\dashboard\dashboard-custodia.js","917","estaDentroVentana12h","function"
"js\dashboard\dashboard-custodia.js","923","formatFechaCorta","function"
"js\dashboard\dashboard-custodia.js","932","redirectToLogin","function"
"js\dashboard\dashboard-custodia.js","936","normalizeCliente","function"
"js\dashboard\dashboard-custodia.js","941","bindClienteSearch","function"
"js\dashboard\dashboard-custodia.js","1004","handleClienteSearchInput","function"
"js\dashboard\dashboard-custodia.js","1026","searchClientes","function"
"js\dashboard\dashboard-custodia.js","1079","autoSelectCliente","function"
"js\dashboard\dashboard-custodia.js","1087","renderClienteResults","function"
"js\dashboard\dashboard-custodia.js","1095","hideClienteResults","function"
"js\dashboard\dashboard-custodia.js","1103","selectClienteResult","function"
"js\dashboard\dashboard-custodia.js","1135","clearClienteSelection","function"
"js\dashboard\dashboard-custodia.js","1154","updateClienteFeedback","function"
"js\dashboard\dashboard-custodia.js","1158","setClienteModalFeedback","function"
"js\dashboard\dashboard-custodia.js","1164","toggleClienteModalLoading","function"
"js\dashboard\dashboard-custodia.js","1169","hideClienteDuplicate","function"
"js\dashboard\dashboard-custodia.js","1176","showClienteDuplicate","function"
"js\dashboard\dashboard-custodia.js","1196","resetClienteModalState","function"
"js\dashboard\dashboard-custodia.js","1202","openClienteModal","function"
"js\dashboard\dashboard-custodia.js","1213","closeClienteModal","function"
"js\dashboard\dashboard-custodia.js","1220","handleClienteSave","function"
"js\dashboard\dashboard-custodia.js","1261","isDuplicateClienteError","function"
"js\dashboard\dashboard-custodia.js","1275","handleClienteDuplicado","function"
"js\dashboard\dashboard-custodia.js","1303","handleClienteDuplicateSelect","function"
"js\dashboard\dashboard-custodia.js","1319","handleClienteDuplicateDismiss","function"
"js\dashboard\dashboard-custodia.js","1329","setupClienteLiveValidation","function"
"js\dashboard\dashboard-custodia.js","1335","clearState","arrow"
"js\dashboard\dashboard-custodia.js","1341","vibrate","arrow"
"js\dashboard\dashboard-custodia.js","1377","fetchAutocomplete","function"
"js\dashboard\dashboard-custodia.js","1414","debounce","function"
"js\dashboard\dashboard-custodia.js","1422","attachPlaceholderWatcher","function"
"js\dashboard\dashboard-custodia.js","1423","handler","arrow"
"js\guard.js","30","pathForRole","function"
"js\guard.js","38","goLogin","function"
"js\guard.js","45","hasRole","function"
"js\guard.js","56","checkGuard","function"
"js\lib\app-header.js","75","setupNavigation","function"
"js\lib\app-header.js","108","resolveNavKey","function"
"js\lib\camera.js","18","ensureModal","function"
"js\lib\camera.js","60","injectStyles","function"
"js\lib\camera.js","178","startStream","function"
"js\lib\camera.js","202","stopStream","function"
"js\lib\camera.js","218","handleCaptureClick","function"
"js\lib\camera.js","244","blobToDataUrl","function"
"js\lib\camera.js","253","resolveCapture","function"
"js\lib\camera.js","259","rejectCapture","function"
"js\lib\camera.js","269","cleanupPending","function"
"js\lib\camera.js","275","closeModal","function"
"js\lib\camera.js","280","openModal","function"
"js\lib\camera.js","284","capture","function"
"js\lib\custodia-session.js","5","safeParse","function"
"js\lib\custodia-session.js","14","load","function"
"js\lib\custodia-session.js","28","save","function"
"js\lib\custodia-session.js","39","touch","function"
"js\lib\custodia-session.js","50","clear","function"
"js\lib\custodia-session.js","56","isNombreValido","function"
"js\lib\permissions.js","5","ensurePermission","function"
"js\lib\permissions.js","15","ensureNotificationPermission","function"
"js\lib\permissions.js","35","ensureCameraPermission","function"
"js\lib\permissions.js","47","ensureMicPermission","function"
"js\lib\permissions.js","59","ensureGeoPermission","function"
"js\lib\router-local.js","27","resolveInitialBase","function"
"js\lib\router-local.js","48","rememberOSRMBase","function"
"js\lib\router-local.js","55","shouldSkipLocal","function"
"js\lib\router-local.js","63","markLocalDown","function"
"js\lib\router-local.js","73","markLocalHealthy","function"
